コンセプト設計,,,,,,
,,,,,,
,お客様について,,,,,
,◾️全社戦略,,,,,リッツ・PROメモ欄
,,,,,,
,◾️事業戦略,,,,,
,,,,,,
,◾️機能戦略,,,,,
,,,,,,
,◾️財務戦略,,,,,
,,,,,,
,"これらの情報から考えられる
ビジネスモデルの優位性",,,,,
,,,,,,
,ゴール,,,,,
,◾️決算月：,,,,,
,◾️売却時期：,,,,,
,◾️売却額：,,,,,
,◾️直営店舗数：,,,,,
,◾️FC店舗数：,,,,,
,1店舗あたりのロイヤリティ：,,,,,
,,,,,,
,現状,,,,,
,◾️直営店舗数：,,,,,
,◾️FC店舗数：,,,,,
,◾️売上：,,,,,
,◾️売上原価率：,,,,,
,◾️人件費比率：,,,,,
,◾️営業利益：,,,,,
,◾️FL比：,,,,,
,◾️営業利益率：,,,,,
,◾️施術単価：,,,,,
,◾️人員：,,,,,
,,,,,,
,想定,,,,,
,キャッシュポイント,,,,,
,,加盟金,,,,
,,研修費,,,,
,,ロイヤリティ,,,,
,,仕入れ,,,,
,,システム,,,,
,,機械代,,,,
,,合計,,,,
,,,,,,
,直営出店費用,,,,,
,,物件取得,,,,
,,内装業者,,,,
,,消耗品,,,,
,,化粧品,,,,
,,機械,,,,
,,加盟金,,,,
,,研修費用,,,,
,,PC,,,,
,,看板（カッティングシート）,,,,
,,エアコン,,,,
,,合計,,,,
,,,,,,
,,総計,,,,
,,,,,,
,FC出店費用,,,,,
,,,,,,
,,,,,,
,FC店のモデル図・経営計画,,,,,
,,,,,,
,営業時間,,,,,
,,,,,,
,,,,,,
,施策（アクション）,,,,,
,,,,,,
,,,,,,
,①ビジネスモデル（成功モデル分析）,,,,,
,求人媒体,,,,,
,掲載期間,,,,,
,費用,,,,,
,応募数,,,,,
,集客,,,,,
,平均月間集客数,,,,,
,客単価,,,,,
,②商標登録の申請,,,,,
,,,,,,
,③自社業務マニュアルの作成,,,,,
,,,,,,
,④フランチャイズモデルを作る,,,,,
,,,,,,
,⑤加盟店開拓の戦略を立てる,,,,,
,,,,,,
,⑥フランチャイズ加盟の基本契約書の作成,,,,,
,,,,,,
,⑦フランチャイズ加盟店を募集,,,,,
,,,,,,
,,,,,,
,ビジョンとミッションの策定,,,,,
,◾️ビジョンの明確化,,,,,リッツ・PROメモ欄
,,,,,,
,◾️ミッションの策定,,,,,
,,,,,,
,【ミッション】,,,,,
,,,,,,
,【ビジョン】,,,,,
,,,,,,
,【バリュー】,,,,,
,,,,,,
,【スローガン】,,,,,
,,,,,,
,,,,,,
,事業計画の作成,,,,,
,◾️市場調査：ターゲット市場のニーズ、競合他社,,,,,リッツ・PROメモ欄
,,,,,,
,◾️SWOT分析,,,,,
,,,,,,
,◾️財務計画：初期投資、収益予測、資金調達,,,,,
,,,,,,
,,,,,,
,法務・税務手続き,,,,,
,◾️法人設立,,,,,リッツ・PROメモ欄
,,,,,,
,◾️契約書の整備：フランチャイズ契約書、サービス利用規約等,,,,,
,,,,,,
,,,,,,
,ブランド構築,,,,,
,◾️ロゴ・ブランディング：ロゴ、カラー、フォント,,,,,リッツ・PROメモ欄
,,,,,,
,◾️マーケティング戦略,,,,,
,,,,,,
,,,,,,
,オペレーションシステムの確立,,,,,
,◾️業務マニュアルの作成：各業務の標準手順書,,,,,リッツ・PROメモ欄
,,,,,,
,◾️研修プログラム：新規フランチャイズオーナー向けの研修,,,,,
,,,,,,
,◾️ITシステムの導入：予約管理システム、顧客管理システムなど,,,,,
,,,,,,
,,,,,,
,フランチャイズ募集と選定,,,,,
,,,,,,
,,,,,,
,サポート体制の構築,,,,,
,,,,,,
,,,,,,
,継続的な改善,,,,,
,,,,,,
,,,,,,
,ブランディングガイドライン,,,,,
,1,ブランドアイデンティティの確立,,,,
,2,ブランドミッションとビジョン,,,,
,3,ミッション,,,,
,4,ビジョン,,,,
,5,バリュー,,,,
,6,ビジュアルアイデンティティの構築,,,,
,7,ロゴとスローガン,,,,
,8,ロゴデザイン,,,,
,9,スローガン,,,,
,10,ブランド認知度の向上,,,,
,11,ブランドの信頼性と評判の管理,,,,
,12,a.顧客体験の向上,,,,
,13,サービスの一貫性,,,,
,14,価値KPI,,,,
,15,レビュー管理,,,,
,16,口コミマーケティング,,,,
,17,5.内部ブランディング,,,,
,18,b.市場の変化に対応,,,,
,19,トレンドの把握,,,,
,20,柔軟なブランド戦略,,,,
